Sl NO,Company Name,Email Id,Contact Person
1,A.A. Nutts,aanutts@yahoo.com,Shri. M.A. Anzar
2,Aadhi Cashews Foods,maranptr@yahoo.com,Adhikesavan
3,Achal Cashew Private Limited,acplho@gmail.com,Mr. G. Giridhar Prabhu
4,Achal Industries,achalho@gmail.com / achalcorp@gmail.com,Shri. G. Giridhar Prabhu
5,ACME COMMODITIES PRIVATE,ImMvITgEaDnesh@acmecommodities.com,M.V. Ganesh
6,Adarsh Industrial Chemicals,adarsh_sanoor@vsnl.com,Shri. Ganesh Kamath
7,Afras Cashew Traders,afrascashewtraders@gmail.com,Mr. Siyavudeen
8,Agri Base Commodities,vittalroy@gmail.com,Mr. S. Umesh Kamath
9,Ajanta Industries,info@organiccashew.com,Shri. A Surendra Kamath
10,AKM Cashews,akmcashews@gmail.com,Nizamudeen I
11,Al Fanoos Cashews,rafeekalfanoos@gmail.com,Mr. Fasaludeen. A
12,ALIN CASHEWS,alincashews@gmail.com,A. Shihansha
13,Alphonsa Cashew Industries,alphonsacashew@gmail.com,Shri. Babu Oommen
14,AMES Foods Processors India P,aivmatees iLntdi.a@gmail.com,Shri. Goerge Paulose
15,Amith Cashew Industries,omcashews@gmail.com,Shri P. Shankar Pai
16,AMK Exports,amkexports2014@gmail.com,Mr. A.K. Shahaludeen
17,Amruta Cashew Industries,amrutacashew@gmail.com,Shri. Suresh N.P. Zantye
18,Anu Cashews,anu.anucashews@gmail.com/anuship@bsnl.,nShri. Anu S Pillai
19,Arokeya Annai Exports,arokeyaannaiexports@yahoo.co.in,"Sri. F. Arul Raj, Sri. F. Andoniraj,"
20,A.S Cashew Exporters,tastynut@rediffmail.com / nowfalsalam1@g,Sahilr.ic. oAm.Abdul Salam
21,Associated Cashew Industries,markcashew@dataone.in,Shri. A. Abdul Salam
22,Assorted Food Packers Pvt.Ltd,infoodex@vsnl.com,Shri. G. Satheesh Nair
23,AYSHA CASHEW EXPORT,mail@acexports.in,N. Mohammed Abbas
24,Beena Cashew Company,beenacashews@yahoo.com,Shri. O. Kochumman
25,Beffy Cashew Company,beffycashew@gmail.com,Shri. Benny George
26,Bethanya Cashew Company,bethanyacashew@gmail.com,Shri Vinu Thomas
27,Bethsaida Cashew Company,bethsaidacashew@gmail.com,Athul Mathew
28,Bismi Cashew Company,bccshiyas@gmail.com,Shri Shiyas Hussain
29,Bola Raghavendra Kamath & S,bnosla@bolacashew.com / bjk@sify.com,Shri. Bola Ramanath Kamath
30,Bola Surendra Kamath & Sons,bola@vsnl.com,Shri. B. Damodar Kamath
31,C. Ramakrishna Padayatchi,crp_cashews@yahoo.com,Shri. C. Ramakrishnan
33,Carmel Cashews,carmelcashews@rediffmail.com,Shri. C. Yohannan
34,Chaitanya Cashew Company,chaitanyacashew@gmail.com,Smt. Veena Prabhakar
35,Chandra Cashew Imports and,xcphoarntds rPacvat.s Lhtedw. @gmail.com/cashewexport,rM@r.g Rm.aSi.l .Dcoinmesh Chandran
36,Chemmarathil Cashew Compa,ychemmarathilcashew@gmail.com,Shri. Syam C.K
37,Choice Cashew Industries,markcashew@dataone.in / markcashew@y,Shhoroi. cAo.m Sirajudeen
38,Chothy Enterprises,manichothy@yahoo.co.in,Shri. J. Radhakrishna Pillai
39,Crown Cashew Impex Pvt Ltd,crowncashewimpex@gmail.com,Shiyaas Hussain
40,Dammam Cashew,dammamcashew@gmail.com,Mr. Abdul Vahid
41,Delish Cashew Industries,markcashew@gmail.com,Mr. Adhinan Salam
42,Diamond Nuts,mail@prasanthicashew.com,B.Mohanachandran Nair
43,Emmanuel Cashew Industries,emmanuelcashew2002@yahoo.co.in,Shri. Jameson Abraham
44,Ennjay Enterprises,ennjay.kollam@gmail.com,Mr. N. Jayaprakash
45,Excellent Cashew Co,excellentcashewcompany@gmail.com,Shri.Abdul Khadar
46,Fairways Trading Co.,bajaj@tulsi.biz,Shri.Rohit Bajaj
47,Fathima Cashew Company,fathimacashew@live.com,Shri. M Basheer
48,Fernandes Brothers,walterdsouza@sify.com,Shri. Walter D'Souza
49,Five Star Cashew Exporters an,m Imarpkocrateshrsew@dataone.in,Mr. Abdullah Alim Nizar
50,Fresh Nuts,freshnuts@rediffmail.com,Mr. Anwar Basheer
51,Gayathri Exports,gayathrie@satyam.net.in,Shri. Bola Srinivas Kamath
52,Gil Gal Cashew Exports,gilgalcashews@gmail.com,Smt. Saramma Yohannan
53,Global Foods,mail@prasanthi.com,G. Raveendran Pillai
54,Hira Cashew Industries,zantyecashew@gmail.com / snpzantye@g,Saihl.rci.o Rmohit U.P. Zantye
55,India Food Exports,infoodex@vsnl.com / infoodex@ymail.com,Shri. G. Satheesh Nair
56,Ismail Enterprises,ismail@asia.com,Shri. P.A. Mohammed Noufal
57,Jaya Cashews,jayacashew@yahoo.co.in,Shri. A. Jayamurthi
58,Jaya Nut Foods,jayacashew@yahoo.co.in Jayanutfoods@g,Aa.i lP.caolmanivel
59,Jayalakshmi Cashew Exports,manojp7421@yahoo.com/ swathifoods@ho,mR.a Pil.acnokmajakshan Pillai
60,Jayalaxmi Enterprises,jayalaxmienterprises@gmail.com,Shri.A Vittalaraya Hegde
61,Jinnah Exports,jinnahexports@rediffmail.com,Mr. S. Jinnah
62,Jinnah Shajahan Exports,jinnahshajahan@rediffmail.com,Ms. A. Zeenath
64,Jothi Cashews,jothicashews@yahoo.com,Mr. S. Jothi
65,J.S. Cashew Exporters,tastynut@rediffmail.com,Shri S. Muhammed Nowfal
