1,AGMA TRADING HOUSE ,"OLD NO16, NEW NO 33, 
ESI HOSPITAL 
ROAD,PERAVALLUR,AGARAM, PERAMBUR/600011, Tamil Nadu",9884200201,AGMATRADINGHOUSE@GMAIL.COM,,"TN1/ME/603/21 28/06/2021 
27/06/2024",Live other than ornamental fish,
2,AQGROMALIN FARMTECH SERVICES PVT LTD ,"3rd Floor, Tower C, Rattha Tek Meadows Road 
Elcot Sez, Sholinganallur 
/600097, Tamil Nadu",9150095418,urvashi.sundarraju@aqgromalin.,www.aqaicrabs.com,"TN1/ME/620/22 23/03/2022 
22/03/2025",Live other than ornamental fish,Live other than ornamental fish:Crab(mudcrab)
3,"ARHAAN TRADING COMPANY NEW NO. 133, OLD NO. 65, ","LINGHI CHETTY STREET 
CHENNAI-600001/600001, Tamil Nadu",4448645151,arhaanmaws@gmail.com,,"TN1/ME/605/21 03/09/2021 
02/09/2024",Dried,
4,BSF EXPORTS ,"12/2, 13/2 REX STREET 
WEST COOVAM RIVER ROAD CHINTADRIPET,/600002, Tamil Nadu",7200200035,bsfexports1961@gmail.com,,"TN1/ME/623/22 18/04/2022 
17/04/2025",Live other than ornamental fish,Live other than ornamental fish:Crab(Crab(Mud Crab))
5,"CHENNAI MARINE EXPORTS, No.43,Old No.21, Kalavai Chetty street ","Chindatripet, 
Chennai/600002, Tamil Nadu",9884916999,chennaimarineexport@gmail.com,,"TN1/ME/518/18 15/01/2018 
14/01/2024",Live other than ornamental fish,Live other than ornamental fish:Crab(Crab(Mud Crab))
6,CHITANG BEIKE IMPEX PRIVATE LIMITED ,"No 147/54 Ground Floor 
Swami Naicken Street Chintadripet Chennai 600002, Tamil Nadu",9962247316,chitangbeike@gmail.com,,"TN1/ME/564/19 02/08/2019 
01/08/2025",Live other than ornamental fish,Live other than ornamental fish:Crab(Crab(Mud Crab))
7,COASTAL AQUACULTURE ,"RESEARCH INSTITUTE PRIVATE LIMITED 
Type II/17, Dr V S I Estate 
Rajiv Gandhi Salai, Thiruvanmiyur, /600041, Tamil Nadu",7299910993,abhishek@aquaconnect.blue,https://aquaconnect.blue/,"TN1/ME/621/22 05/04/2022 
04/04/2025",Frozen,
8,COASTLINE FISHERIES ,"4/1, BALAKRISHNAN STREET, TONDIARPET, 
CHENNAI-600 081., Tamil Nadu",,brittoseafoodexports@gmail.com,,"TN1/ME/370/14 14/07/2014 
13/07/2023",Chilled,"Chilled:Fish Wild(chilled : grouper , tomato grouper,,chilled prawn, coral trout fish, 
baigai)"
9,DECO DE TREND ,"4/371, DAVID NAGAR 
VANDALLUR - WALAJABAD 
ROAD 
PADAPPAI VILLAGE/601301, Tamil Nadu",4467142222,ACCOUNTS@DECODETREND.COM,,"TN1/ME/552/19 15/02/2019 
14/02/2025",Others-Non Edible,Others-Non Edible:Sea Shells(SEA SHELLS)
10,DUX GLOBAL SOLUTIONS ,"ZEAL HOUSE NO 5 M G 
CHAKRAPANI STREET 
SATHYA GARDEN 
SALIGRAMAM/600093, Tamil Nadu",4424880136,DUXGLOBAL73@GMAIL.COM,,"TN1/ME/631/22 26/08/2022 
25/08/2025",Others-Non Edible,Others-Non Edible:Prawn Feed(PRAWN FEED)
11,"EAST INDIA CORPORATION PLOT NO.8, 2ND FLOOR, SRI LAKSHMI NAGAR ","2ND CROSS STREET, 
KATHIRVEDU 
Chennai-600066, Tamil Nadu",9884578615,sales@eastindiacorporations.com,,"TN1/ME/602/21 21/06/2021 
20/06/2024",Chilled,
,,,,,,,,
12,Off FOUR SEASONS INDIA GROUP," 29-B, Jayalakshmi Street Moolachathram Main Road, MMC Madhavaram, Chennai/600051, Tamil Nadu",9791945468,fourseasonsindiag@gmail.com,,TN1/ME/611/21    30/12/2021 29/12/2024,Chilled,"
Chilled:Fish Wild(Silver Pomfret,Reef Cod Spotted Grouper,White Snapper,Red 
Snapper,Macreal,King Fish,Silver 
Croaker,Sardine) 
Chilled:Fish 
Aquaculture(Rohu,Catla,Seabass,Roopchand) Chilled:Shrimp Wild(White,Tiger) 
Chilled:Shrimp Aquaculture(Vannamei 
Shrimps) 
Chilled:Squid(Needle Squid)"
13,GREAT WIN EXPORTS ,"4/234 D, MGR SALAI, 
7TH STREET, PALAVAKKAM CHENNAI-600 041., Tamil Nadu",,greatwinexports@gmail.com,,"TN1/ME/392/15 29/01/2015 
28/01/2024",Frozen,"Frozen:Fish Wild(PUD shrimp) 
Frozen:Shrimp Aquaculture(Vannamei Shrimp)"
14,GREAT WIN EXPORTS PRIVATE LIMITED ,"NO.4/234D 
MGR SALAI 7TH STREET, 
PALAVAKKAM CHENNAI 
/600041, Tamil Nadu",9789901306,greatwinexportspvtltd@gmail.co,,"TN1/ME/610/21 24/11/2021 
23/11/2024",Frozen,"Frozen:Fish Wild(PUD shrimp) 
Frozen:Shrimp Aquaculture(Vannamei Shrimp)"
15,GREENONE IMPEX ,"51/7-4, Mani Complex, Sankagiri Road, 
Seetharampalayam Post, 
Thiruchengode 
Namakkal/637209, Tamil Nadu",4288290437,info@greenoneimpex.com,www.greenoneimpex.com,"TN1/ME/615/22 07/02/2022 
06/02/2025",Chilled,"Chilled:Fish Wild(Pearlspot fish,Grouper fish,PARROT FISH,ROGHU 
FISH,PROMPET FISH, CORAL TROUT FISH) 
Chilled:Fish Aquaculture(PEARL SPOT FISH ,ROGHU FISH) 
Chilled:Shrimp Wild(VANAMIE SHRIPMS ,BLACK TIGER SHRIMPS,SEA FLOWER PRAWNS, SEA TIGER PRAWNS,) 
Chilled:Shrimp Aquaculture(VANAMIE SHRIPMS ,BLACK TIGER SHRIMPS)"
16,J.V.P MARINE PRODUCTS ,"EXPORTS PRIVATE LIMITED 80A/1 
PIDARI NORTH STREET 
SIRKALI/609110, Tamil Nadu",9842658852,jvpmarineexports@gmail.com,,"TN1/ME/549/19 24/01/2019 
23/01/2025",Frozen,
17,JANSI SEA FOOD ,"NO.27, TONDIAR NAGAR, 3rd STREET 
TONDIARPET, CHENNAI 
600081, Tamil Nadu",9840210946,jansiseafood27@gmail.com,,"TN1/ME/496/17 31/08/2017 
30/08/2023",Live other than ornamental fish,"Live other than ornamental fish:Lobster(Live Lobster , snail)"
18,JAY JAY SERVICES ,"2C Shakthi Palace 
Jaikrishna Garden 
Thindal-ERODE/638012, Tamil Nadu",9487949415,info@jayjayservices.com,www.jayjayservices.com,"TN1/ME/639/22 05/12/2022 
03/04/2023",Others-Non Edible,
19,KATHIJA IMPEX ,"NO:107/1A1B, INDRA NAGAR, SIVABOOTHAM VILLAGE, 
VANVANAGARAM, 
THIRUVALLUR DIST 
CHENNAI-600095, Tamil Nadu",7401999666,info@kathijaimpex.com,www.kathijaimpex.com,"TN1/ME/636/22 25/10/2022 
24/10/2025",Chilled,
20,KKP SEA FOODS EXPORTS(PVT )LTD ,"No.27,Wooster Nagar, 
Pudupattinam,Kalpakkam Post, 
Kancheepuram Dist-603102, Tamil Nadu",27487705,kkp_exports@rediffmail.com,,"TN1/ME/352/13 18/12/2013 
16/12/2022",Frozen,
21,LS MARINE FOODS ,"FIRST FLOOR NO,1/150, 
PILLAYAR KOIL STREET, 
INJAMBAKKAM,CHENNAI, 
CHENGALPATTU,TAMIL 
NADU,600115/600115, Tamil Nadu",8807033395,lsmarinefoods@gmail.com,,"TN1/ME/622/22 18/04/2022 
17/04/2025",Live other than ornamental fish,Live other than ornamental fish:Crab(live mud crab)
22,M.D.M ENTERPRISES ,"1ST FLOOR, NO.68/08 MOSQUE JAMATH 
GODOWN STREET,FLOOR 
BAZAR, 
CHENNAI/600001, Tamil Nadu",8122204884,mdmenterprisesdevi@gmail.com,NA,"TN1/ME/613/22 10/01/2022 
09/01/2025",Live other than ornamental fish,Live other than ornamental fish:Crab(Live Blood clam)
23,"M/S. A L M TRADING COMPANY, No.1, Ya Hussain Thaikkal Street, Nagore-611 002.","Nagapattinam Dist., Tamil Nadu",,maamoontrd@yahoo.com,,"TN1/ME/175/07 13/03/2007 
31/12/2023",Others-Non Edible,Others-Non Edible:Operculum of Non-Restricted Species(Sea Shell)
24,M/S. LSF SEA FOODS ,"B2. 5/1, Thiruvenkada Nagar 
Ambattur 
Kanchipuram,Chennai/600053, Tamil Nadu",9962925789,lsfseafoods@gmail.com,www.lsfseafoods.com,"TN1/ME/618/22 15/03/2022 
14/03/2025",Chilled,"Chilled:Shrimp Wild(Chilled: Chilled Shrimp prawn,chilled sea tiger)"
"25
","M/S.B M R EXPORTS, ","Flat S-10, TNHB Complex, 180, Luz Chruch Road MYlapore,Chennai-4., Tamil Nadu",24661082,bmrexp@gmail.com,,"TN1/ME/133/05 05/08/2005 
02/08/2023
","Frozen
","Frozen:Shrimp Aquaculture(Raw Head On shell On shrimps,Raw Head less shell on shrimps - Block /IQF,Raw PD Tail On/off shrimps - IQF,Raw Ezpl Shrimps - IQF,Raw stretched PDTO shrimps - Nobashi,Raw Peeled un deveined shrimps -Block,Raw Peeled Deveined Tail Off Shrimps -
Block,Raw Butterfly shrimps - IQF,Cooked PD tail On /off shrimps - IQF,Cooked EZPL shrimps - IQF)	"
,,,,,,,,"
"
26,M/S.BLUE MARINE HOUSE PVT LTD ,"F1,Skyline Castle 
27,Abdul Razack street, Saidapet Chennai-600 015, Tamil Nadu",,mithun.blumarinehouse.in@gmail.com,,"TN1/ME/233/09 08/10/2009 
04/10/2024",Chilled,"Chilled:Fish Wild(Chilled: Coral trout , 
Emperor bream,Red mullet , Plain 
Grouper,,brown spotted Grouper , Red 
Snapper,Job Fish, Silver pomfret, Chilled Shrimp,chilled mahi mahi, chilled yellow fin tuna,seer fish, silver silago, blue crab,parrot fish, ribbon fish, white squid)"
27,M/S.JAI RAMSIKOGUL CORPORATION ,"9-B/1, Birds Road, 
Cantonment, 
Trichy-620001., Tamil Nadu",0431-2414627,jairamsikogu@satyam.net.in,,"TN1/ME/159/06 21/06/2006 
31/12/2024",Others-Non Edible,
