1,ANJALI SEAFOOD LLP ,"Anjali Seafood LLP.
Opp Fisheries 
Terminal Gate, Subhas Nagar, 
PORBANDAR, Gujarat",,anjali.seafood@gmail.com,,"GU3/ME/022/15 14/04/2015 
07/07/2023",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN BOMBAY DUCK,FROZEN CATFISH,FROZEN REEFCOD) 
Frozen:Cuttlefish(FROZEN CUTTLE FISH) 
Frozen:Squid(FROZEN SQUID)"
2,KUSH TRADING ,"306, MILLENIUM 
TOWER 
WADI PLOT 
PORBANDAR, Gujarat",9825752606,kushtrading2013@gmail.com,,"GU3/ME/059/17 18/07/2017 
17/07/2023",Frozen,"Frozen:Fish Wild(RIBBON FISH,CAT FISH,BOMBAY 
DUCK,JAPANESE THREADFIN BREAM,INDIAN 
MACKEREL,YELLOWFIN TUNA,LITTLE TUNNY,BIG EYE 
TUNA,SKIP JACK TUNA,SNAPPER,REEF COD,CROAKER,TIGER TOOTHED CROAKER,HORSE MACKERAL,SCAD,LEATHER SKIN,LIZARD FISH,SHAD FISH,QUEEN FISH,TILAPIA,LEATHER JACKET) 
Frozen:Cuttlefish(CUTTLE FISH) 
Frozen:Squid(SQUID (LOLIGO DUVAUCELI),SQUID (UROTEUTHIS DUVAUCELI)) 
Frozen:Crab(BLUE SWIMMING CRAB,THREE SPOT CRAB)"
3,PERFECT FOODS ,"NAVNIDHI 
CHOGAN FALIYU, 
KHARVAWAD, 
BUNDER ROAD, 
PORBANDAR, Gujarat",9924797535,perfectpbr@gmail.com,,"GU3/ME/062/18 13/08/2018 
12/08/2024",Frozen,
4,SHREE NIDDHI SEA FOOD ,"Subhas Nagar Road, 
Opp. Terminal Gate, 
PORBANDAR, Gujarat",919662051632,shreenidhiseafoods@gmail.com,,"GU3/ME/060/17 07/08/2017 
06/08/2023",Frozen,
5,SILVER CRUSTACEA EXPORTS ,"S. No. 124 
Javar Naka, 
PORBANDAR, Gujarat",02862241819,silvercrustaceaexports@gmail.c,www.silverseafoodindia.com,"GU3/ME/072/20 18/02/2020 
17/02/2023",Frozen,
6,AFTAB EXPORTS ,"Fish Market 
PORBANDAR, Gujarat",09824208618,faiyaz.aftab086@gmail.com,,"GU3/MT/041/15 14/04/2015 
02/09/2025",Frozen,"Frozen:Fish Wild(FR. BLACK EEL, FR. T.T. CROAKER,,FR. BIG MOUTH CROAKER, FR. INDIAN MACKEREL,,FR. RIBBON FISH WHOLE IWP, FR. HORSE MACKEREL,,FR. RIBBON FISH WHOLE, FR. SILVER CROAKER,,FR. SOLE FISH, FR. JAPANESE 
THREADFIN BREAM,,FR.YELLOW CROAKER,FR. FORK-TAILED THREADFIN BREAM,,FR. RED SNAPPER WR, FR. DORAB 
FISH,,FR. YELLOW TAIL SCAD, FR. FLOUNDER FISH,,FR.
LEATHER JACKET WHOLE, FR. BLACK SEA BREAM,,FR. KING FISH WHOLE, FR. SQUID WR,,FR. INDIAN MACKEREL, FR.
BLACK POMFRET,,FR. AMBERJACK WHOLE, FR. MAHI MAHI FILLETS)"
"7
tps://e-",AFTAB MARINE ,"EXPORTS, 
Fish Market, 
PORBANDAR, Gujarat
mpeda.nic.in/registra",02862215832,faiyaz_karatela@yahoo.co.in,"www.aftabmarine.com
tion/Rpt_Region_Wise_Exporters_Detaile","GU3/MT/043/15 14/04/2015 
09/04/2024
d_New.aspx?O","Frozen
ffId=36&O","Frozen:Fish Wild(FR.GROUPER BUFFET,FR.GROUPER FILLET SKINOFF,BONELESS,PINBONEOFF,FR.GROUPER FINGER 
SKINLESS,BONELESS(N),,FR.GROUPER FINGER, BUFFET, 
SKINLESS, BONELESS(B),FR.UNICORN FILLETS 
(M.OFF),FR.AMBER JACK SKINON FILLETS,FR.AMBER JACK FILLETS SKINLESS,BONELESS,FR.SNAPPER SKINON 
FILLETS,FR.MAHI MAHI FILLETS,FR. KOOTH FISH FILLETS,FR. CORVINA FISH FILLETS,FR.SWORD FISH FILLETS,FR. LEATHER JACKET FISH FILLETS,FR. BLACK EEL,FR. BIG MOUTH 
CROAKER,FR. RIBBON FISH WHOLE IWP,FR. RIBBON FISH WHOLE,FR. SOLE FISH,FR. JAPANESE THREADFIN BREAM,FR.
SEER FISH,FR. T.T. CROAKER,FR. INDIAN MACKEREL,FR.
HORSE MACKEREL,FR. SILVER CROAKER,FR. YELLOW CROAKER,FR. FORK-TAILED THREADFIN BREAM,FR. RED SNAPPER WR,FR. DORAB FISH,FR. YELLOW TAIL SCAD,FR.
FLOUNDER FISH,, FR. LEATHER JACKET WHOLE,FR. BLACK SEA BREAM,FR. KING FISH WHOLE,, FR. INDIAN 
MACKEREL,FR. BLACK POMFRET,FR. AMBERJACK WHOLE,FR.
MAHI MAHI WHOLE,, FR. TUNA FISH,FR.REEFCOD
ffice=SRD%20Porbandar&Categ=ExporterOT Page 1 of 8"
nline R,egistration System - M,,,,,,,"08/02/23, 2:40 AM
WHOLE,FR.GROUPER FISH WHOE) 
Frozen:Shrimp Wild(FR.SHRIMPS WHOLE,FR.HEAD ON 
SHRIMPS,FR.HEAD LESS SHRIMPS,FR. HEAD LESS TAIL LESS SHRIMPS,, FR.PUD SHRIMPS,FR. PD SHRIMPS,, FR. LOBSTER WHOLE) 
Frozen:Cuttlefish(FR.CUTTLE FISH WHOLE,FR.CUTTLE FISH WHOLE CLEAN,, FR.CUTTLE FISH STRIPS) 
Frozen:Squid(FR. SQUID WHOLE,FR.SQUID TUBES AND 
TENTACLES,, FR.SQUID TUBES,FR.SQUID TENTACLES,FR.SQUID WHOLE CLEAN) 
Frozen:Octopus(FR.OCTOPUS WHOLE,FR.OCTOPUS WHOLE 
CLEAN) 
Frozen:Crab(, FR.CRABS WHOLE)"
8,"AKE DRY SEA FOOD PLOT NO 115/2,116/1 GIDC ESTATE ","VANANA 
PORBANDAR, Gujarat",9978919127,abdulkadarebrahim1@gmail.com,,"GU3/MT/077/21 08/04/2021 
07/04/2024",Dried,"Dried:Fish Maws/Isinglass(Ghole Fish Maws,Dara Fish Maws,Eel fish maws,Kuth fish Maws, Soily Fish Maws, Cat Fish Maws,Dry fish Dry Ribbon Fish, Dry Bombay Duck,,Dry Reef Cod, Dry Salted Crocker, Dry Shrimps)"
9,AKSHA FISH MEAL AND OIL ,"REVENUE SURVEY NO 63 DIVISION A PORBANDAR-
SOMNATH 
HIGHWAYOPP.
NARVAI MATAJI 
MANDIR 
VILLAGE :GOSA, 
PORBANDAR, Gujarat",9558885558,akshafishmeal@hotmail.com,,"GU3/MT/085/23 17/01/2023 
16/01/2026","Others-Non 
Edible",
