company_name,Address,Tel,Mob,Fax,Email,fax
1. SUCDEN COFFEE INDIA PRIVATE LIMITED,". POST BOX No.51, PLOT No.23, KIADB INDUSTRIAL AREA, KUDALOOR, KUSHAL NAGAR- 571 234, KODUGU, KARNATAKA.",+91 8276 278638/40/41,+91 9845831670,,harish.ab@sucden.com,+91 8276 278636
2. NKG INDIA COFFEE PRIVATE LIMITED,"903, BRIGADE RUBIX, NO.20, OFF NH-4, HMT MAIN ROAD, HMT TOWN SHIP, BANGALORE -560 013, KARNATAKA STATE.  |",+91 80 49292908,+ 91 9379203877/8884418831,,"dominic.xavier@nkg.coffee, venkataswamy.v@nkg.coffee, trade@nkgindiacoffee.com",
3. ALLANASONS LIMITED,"'CHANCO RESIDENCY', NO.1/2, S R T LANE CUNNINGHAM ROAD CROSS, BANGALORE - 560 052, KARNATAKA  |","+91 80 2226 1234, 2226 7007",9945924555,,"ramishra@allana.com, coffee@allana.com",
4. LOUIS DREYFUS COMPANY COMMODITIES (I) PVT. LTD,"., Anchorage, 2nd Floor, 100/5, Richmond Rd, BANGALORE - 560 025, KARNATAKA.  |",+91 80 4043 7772,+91 9972370179/9611852255,,"bng-coffee-trading@Ldc.com, dinesh.devarajan@Ldc.com",
5. VIDYA HERBS PRIVATE LIMITED,"NO.30, 33RD MAIN, 16TH CROSS, J.P. NAGAR 6TH PHASE, BANGALORE-560 078, KARNATAKA  |",+91 80 26531133/26493087,+91 9902021298,,info@vidyaherbs.com srinath@vidyaherbs.com,
6. OLAM FOOD INGREDIENTS INDIA PVT LTD,"Building NO.8,PHASE-11, DLF CYBER CITY, GURGAON-122 002, HARYANA",+91 80 40110375,+91 9663531122/9900054964,,manjunath.r@o.com | srikanth.ambati@o.com,
7. ECOM GILL COFFEE TRADING PVT. LTD,"., ECOM HOUSE, 489/11, BOREWELL ROAD WHITEFIELD, BANGALORE -560 066, KARNATAKA.  |",+91 80 2845 8010,"+919845758332, 9972095957",,Vgaur@ecomtrading.com,
8. EMIL TRADERS (P) LTD,". XIII/423 MEENANGADI-673 591, WAYNAD, KERALA.  ","+91 4936 248490,","+91 9744001629, 9447047927, 9207265942",,"9591emil@gmail.com, emiltraders@gmail.com tradeemil@gmail.com",+91 4936 246450
9. BCK INTERMARK,"NO 202, SHAH SULTAN, 17 CUNNINGHAM ROAD BANGALORE-560 051,",,"9845005373,",,mnc@bckgroup.com,
10. TATA COFFEE LTD,"57, RAILWAY PARALLEL ROAD, KUMARA PARK WEST, BANGALORE -560 020. KARNATAKA.",,9886661843/9448460681,,"millin.chummaiah@tatacoffee.com, shalini.bp@tatacoffee.com",
11. BOLAS AGRO PRIVATE LIMITED,"GROUND FLOOR, BLOCK NO. K-56, KEDINJE, KARKALA, UDUPI - 574110,KARNATAKA INDIA. ",,+91 9449019107,,"mail@bolas.co.in, export@bolas.co.in",
12. S.L.N. COFFEE & SPICES EXPORTS PVT. LTD,"., P.B. No. 47, KIADB INDUSTRIAL AREA, KUDLUR, KUSHAL NAGAR - 571 234, KARNATAKA.  |","+91 8276 278666,",+91 9448078666/990060611,,"kiran@slncoffee.com, sathappansln@yahoo.co.in",
13. I.T.C. LIMITED,"AGRI BUSINESS DIVISION, Green Center, PO Box No. 317, Grant Trunk Road, Guntur - 522 004, ANDHRA PRADESH.","0863 2348042, 2348204,",97047 08171/98494 11666,,"Mayankshah.B@itc.in, Mahesh.Gadre@itc.in",0863 2354220
14. KILLIMANJARO COMMODITIES (INDIA) PRIVATE LIMITED,"91 SPRING BOARD BUSINESS HUB PRIVATE LIMITED 74/II, C SROSS ROAD, OPP GATE NO2 SEEPZ ANDHERI EAST, MUMBAI,MAHARASTRA 571 234",,90095 55243,,shashidhara.kv@etgworld.com,
15. OM SHREE INTERNATIONAL PVT. LTD,"., ORION BUSINESS PARK, 702, 7TH FLOOR, NEHRU ROAD, NEAR STATION, SANTACRUZ (EAST), MUMBAI-400055, MAHARASHTRA",91-22-68393200,093249 25206 / 093249 25210,,"adm@omshreegroup.com, shweta.rane@omshreegroup.com & dharmesh.mistry@omshreegroup.com",
16. GRACIOUS COFFEE PRIVATE LIMITED,MP XIV 424MP XIV 424 WAYANAD 673591 KERALA  |,,9744001629,,graciouscoffee2019@gmail.com,
17. KAFFEE INDIANO,"NO.408, BRIGADE SERENITY APARTMENTS BAYPASS ROAD, CHIKAMAGALURU- 577 102, KARANATAKA",,9740812169,,shashibelame@ymail.com,
18. BIOWIN AGRO RESEARCH,"M.P.5/587 D, Mysore Road, Vemom Post, MANATHAVADI, WAYANAD - 670 645, KERALA  |","+91 4935 240457,",+91 9656220000,,biowinkerala@gmail.com,
19. ASPINWALL & CO. LTD,"., POST BOX No. 901, KULSHEKAR, MANGALORE -575 005, KARNATAKA.  |","+91 824 221 1415, 2881300","+91 9880540212, 9880540089, 8123784977",,"thimmaiah.kd@aspinwall.in/ sony.john@aspinwall.in,coffee@aspinwall.in",+91 824 221 1498
20. HANGAL COFFEE EXPORTING PRIVATE LIMITED,NO 1095 JCST KOPPALNO 1095 JCST KOPPAL MYSORE 570023 KARNATAKA,,"9972200004,",,anil@hangalcoffee.com,
