1,ABN TRADES ,"NO 27/2631 
LOUIS LANE 
KADAVANTHRA 
SOUTH/682020, Kerala",4842310669,sankar@abntrades.com,www.abntrades.com,"KL1/ME/358/16 09/05/2016 
08/05/2022","Canned/Bottled/Retort Pouched Product 
Dried",
2,ACQUA PEARL PROPERTIES AND EXPORTS INDIA ,"PRIVATE LIMITED 
MUTHAMPAKAL 
,VADISALAM, 
AROOKUTTY P.O.
/688535, Kerala",9846048591,casalimcherukattu@gmail.com,,"KL1/ME/405/19 06/02/2019 
05/02/2025","Frozen 
Chilled",
3,AQUA MARINE ,"18/1555, Thoppumpady, Kochi-5, Kerala",4842231671,aquamarinecok@gmail.com,,"KL1/ME/131/05 22/07/2005 
30/06/2024",Frozen,
4,AQUA SEA FOOD (INDIA) PVT LTD ,"D.NO.16/1083-A 
HADEES CENTRE, NEAR COCHIN FISHERIES 
HARBOUR 
KARUVELIPADY, 
COCHIN/682005, Kerala",2220346,aquaseafoodindia@gmail.com,http://www.aquaseafoodindia.com,"KL1/ME/389/18 23/04/2018 
22/04/2024",Frozen,
5,AVLA COLD STORAGE CHEELANDIMUKU ,"NEENDAKARA 
KOLLAM/691582, Kerala",4742770272,varshaavla@gmail.com,,"KL2/ME/061/16 25/02/2016 
24/02/2025",Frozen,
6,BLUE CREST FROZEN ,"FOODS PVT LTD 
No.36/1920F, CHAMMANY COMPLEX 
SEBASTIAN ROAD, 
ERNAKULAM -682 017, 
Kerala",4782873337,bluecrestfrozen@gmail.com,,"KL1/ME/345/15 10/07/2015 
08/07/2024",Frozen,
7,"BLUE SEA EXPORTS 18/2338 F, TRINITY ","BUILDING 
THOPPUMPADY 
KOCHI/682005, Kerala",4844022381,mailbluec@gmail.com,,"KL1/ME/263/11 29/03/2011 
28/03/2023",Frozen,
8,CANAAN MARINE ,"PRODUCTS 
CANAAN MARINE 
PRODUCTS 
AP/XIV-40 KELTRON ROAD, AROOR/ALAPPUZHA 
688534/KERALA, Kerala",4842327622,accountscanaan@gmail.com,,"KL1/ME/069/05 15/02/2005 
14/02/2023",Frozen,
9,CHARISMA EXPORTS ,"TC 4/1913-1 Bethel PRA Lane Pandit Colony 
Kowdiar Post Trivandrum 
/695003, Kerala",6238110410,info@charismaexports.com,www.charismaexports.com,"KL2/ME/067/20 20/01/2020 
19/01/2023",Frozen,
10,CITRA AGRO PEIXE ,"PRIVATE LIMITED 
BUILDING NO. 29/971, KPK MENON ROAD, 
WILLINGDON ISLAND, 
KOCHI - 682003, Kerala",9324465464,citramumbai@gmail.com,,"KL1/ME/452/21 13/09/2021 
12/09/2024",Frozen,
"11
",COCHIN COSMOS FOODS LTD ,"18/47 Baby Marine Compound Thoppumpady
Cochin-682 005, Kerala
",,info@babymarinegroup.com,,"KL1/ME/214/08 10/11/2008 08-11-2023
","Frozen
",
,,,,,,,,
12,"COCHIN FROZEN FOODS Arookutty Ferry Road, ","Aroor, 
Alappuzha - 688 534/688534, Kerala",4782873271,dineshprabhakar93@yahoo.in,wwwcochinfrozenfoods.in,"KL1/ME/063/05 07/02/2005 
06/02/2026",Frozen,
13,CORAL EXPORTS ,"25/378,MANATHUPADAM ROAD 
CHANGAMPUZHA NAGAR P.O 
KOCHI/682016, Kerala",9442128660,coralnifphatt@gmail.com,,"KL1/ME/401/18 08/11/2018 
07/11/2021","Frozen 
Chilled",
14,CRESCENT SEAFOODS PRIVATE LIMITED ,"Door No:13/1014, Hospital Road 
Karuvelipady 
Kochi 682005, Kerala",4782877690,sajith@frozenshrimp.com,www.frozenshrimp.com,"KL1/ME/294/12 18/12/2012 
17/12/2024","Frozen 
Chilled",
15,EASTERN CONDIMENTS ,"PRIVATE LIMITED 
IV/1D,IV/1E, IRUMALAPADY PANIPRA P.O.
KOTHAMANGALAM 
KERALA 686691/686691, Kerala",9447116649,bincybiju@eastern.in,www.eastern.in,"KL1/ME/462/21 02/12/2021 
01/12/2024","Canned/Bottled/Retort Pouched Product 
Dried",
