1,ALASHORE AQUA PVT LTD ,"Plot No.823/1626 CHHATUA CHHAK SUNHAT 
BALASORE/756003, Odisha",7381050506,alashoreaqua@gmail.com,,"OR1/ME/082/19 06/03/2019 
05/03/2025",Frozen,
2,BHIMRAJ EXPORTS PRIVATE LIMITED PLOT NO-524/1671/1898 ,"PATIA STATION ROAD,PATIA 
BHUBANESWAR/751024, Odisha",9937677467,bhimrajexports@gmail.com,,"OR1/ME/053/14 14/03/2014 
13/03/2023",Frozen,
3,"BRIGHTSTAR SEAFOOD PRIVATE LIMITED QR.NO-VM-1, NEAR D/L COLONY ","VSS NAGAR 
BHUBANESWAR/751007, Odisha",9437183528,bstarseafood@gmail.com,,"OR1/ME/100/21 05/05/2021 
04/05/2024",Frozen,
4,BTB MARINE EXPORTS ,"MIRZAPUR 
BALARAMGADI 
CHANDIPUR/756025, Odisha",9776389940,btbmarineexports@gmail.com,,"OR1/ME/093/19 16/12/2019 
15/12/2025",Frozen,
5,CAMARON EXPORTS PVT.LTD ,"Flat No.606, 6th Floor, 
Plot No.7 Sri Sudarsan Tower 
Sahid Nagar, Bhubaneawar/751007, Odisha",9437094731,camaronexports@gmail.com,,"OR1/ME/083/19 27/03/2019 
26/03/2025",Frozen,"Frozen:Shrimp Wild(HLSO Pink and Brown Shrimps Block,PD Pink and Brown Shrimps Block,PUD Pink, Brown, KKD, Poovalan 
Shrimps Block,HLSO Sea White Shrimps 
Block) 
Frozen:Shrimp Aquaculture(HLSO Vannamei Shrimps Block & IQF,PD Vannamei Shrimps Block & IQF,PUD Vannamei Shrimps Block & IQF,PDTO Vannamei Shrimps Block & 
IQF,EZPL Vannamei Shrimps Block & 
IQF,HOSO Vannamei Shrimps Block & 
IQF,HLSO Black Tiger Shrimps Block and IQF)"
6,"DEBJYOTI OVERSEAS PRIVATE LIMITED FLAT NO. 104, NAVADURGA APARTMENT JAYADURGA NAGAR, BHUBANESWAR-751006 ","/751006, Odisha",7008202923,debjyotioverseas20@gmail.com,,"OR1/ME/078/18 28/05/2018 
27/05/2024",Frozen,
7,"DN SEA SHELLS PRIVATE LIMITED GROUND FLOOR, PLOT NO-15, ","VIP COLONY, NAYAPALLI, 
BHUBANESWAR/751015, Odisha",9668365071,info@dnseashells.com,,"OR1/ME/115/22 16/08/2022 
15/08/2025",Frozen,
8,"FLAMINQO SHRIMPEX PRIVATE LIMITED PLOT NO. - F/33 & F/34, CHANDAKA ","INDUSTRIAL ESTATE 
C.S.PUR, INFOCITY 
BHUBANESWAR/751024, Odisha",9937051115,flaminqoshrimpex@gmail.com,,"OR1/ME/077/18 07/05/2018 
06/05/2024",Frozen,"Frozen:Shrimp Wild(PUD SEA CAUGHT) Frozen:Shrimp Aquaculture(HEAD LESS SHELL ON VANNAMEI SHRIMP,EASY PEEL VANNAMEI SHRIMP,HEAD LESS SHELL ON IQF SHRIMP,PUD 
VANNAMEI,PEELED & DEVEINED TAIL ON VANNAMEI SHRIMP)"
9,K.R.ENTERPRISES ,"PLOT NO, A/22,1ST FLOOR,FALCON HOUSE CUTTACK ROAD,BHUBANESWAR 
/751006, Odisha",9937394022,krenterprises2003@gmail.com,,"OR1/ME/098/20 22/12/2020 
21/12/2023",Frozen,
10,"KURA EXPORTS (OPC) PRIVATE LIMITED ROOM NO-DCB-431, DLF CYBER CITY ","IDCO INFO PARK, CHANDAKA INDUSTRIAL ESTATE 
PATIA, BHUBANESWAR/751024, Odisha",9777641011,kuraprivatelimited@gmail.com,,"OR1/ME/109/22 10/03/2022 
09/03/2025",Frozen,"Frozen:Shrimp Wild(HEADLESS BLACK TIGER SHRIMPS,HEAD ON BLACK TIGER SHRIMPS,SEA CAUGHT PUD 
SHRIMPS,HEADLESS KARIKADI 
SHRIMPS,HEADLESS POOVALAN 
SHRIMPS,HEADLESS PINK & BROWN SHRIMPS) 
Frozen:Shrimp Aquaculture(HEAD LESS 
SHELL ON VANNAMEI SHRIMP)"
