1,A R EXPORTS ,"KARIMI MANZIL, 
BATTIWALI STREET 
BAHARKOT, VERAVAL, Gujarat",8511786115,arexports16@gmail.com,-,"GU1/ME/304/16 14/09/2016 
19/03/2025",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN YELLOW 
CROAKER,,FROZEN SILVER CROAKER,FROZEN SILVER 
POMFRET,FROZEN SOLE FISH , FROZEN REEF COD,FROZEN SQUID WHOLE FROZEN INDIAN MACKEREL,,FROZEN HORSE MACKEREL,FROZEN LEATHER JACKET,FROZEN CUTTLE 
FISH,FROZEN LIZARD FISH,FROZEN BOMBAY DUCK,FROZEN YELLOW CROAKER,,FROZEN MERLIN FISH,FROZEN JAPANESE THREADFIN BREAM,FROZEN LIZARD FISH,FROZEN STING RAY WHOLE,FROZEN BONITO TUNA,FROZEN CAT FISH)"
2,ABIHA SEA FOODS ,"ALIBHAI SOCIETY ROAD, KAUSHAR COLONY 
VERAVAL, Gujarat",8140843218,abihaseafoods@gmail.com,-,"GU1/ME/390/22 05/09/2022 
04/09/2025",Frozen,
3,AHMED FOODS ,"MALEK WADA 
PRABHAS PATAN VERAVAL, Gujarat",2876231249,ahmedfoods.vrl@gmail.com,,"GU1/ME/271/14 14/10/2014 
13/10/2023",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN REEF 
COD,FROZEN CROAKER FISH,FROZEN LEATHER JACKET 
FISH,FROZEN BULL EYE FISH,FROZEN JAPANESE THREADFIN BREAM,FROZEN TIGER TOOTH CROAKER FISH,FROZEN BIG MOUTH CROAKER,FROZEN SOLE FISH,FROZEN BOMBAY 
DUCK,FROZEN TILAPIA FISH,FROZEN BARRACUDA 
FISH,FROZEN BLACK EEL,FROZEN SCAD FISH,FROZEN HORSE MACKEREL,FROEN INDIAN MACKEREL,FROZEN FRINGE SCALE SARDINELLA,FROZEN BLACK SEA BREAM,FROZEN EEL 
FISH,FROZEN STING RAY,FROZEN LIZARD FISH,FROZEN RED SNAPPER,FROZEN EMPEROR,FROZEN SQUID,FROZEN 
OCTOPUS,FROZEN MAHI MAHI,FROZEN SKIP JACK TUNA,FROEN BONITO TUNA,FROZEN YELLOW FIN TUNA)"
4,AL YAHYA EXPORTS ,"CITY HEIGHT APARTMENT FLAT NO. 701 
CHAR CHOWK, BAHAR 
KOT,VERAVAL, Gujarat",8160248007,alyahyaexports@gmail.com,-,"GU1/ME/381/21 25/10/2021 
24/10/2024",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN YELLOW 
CROAKER, FROZEN SILVER CROAKER,FROZEN SILVER 
POMFRET,FROZEN CHINESE POMFRET,FROZEN SOLE FISH , FROZEN REEF COD,FROZEN SOLE FISH , FROZEN SQUID 
WHOLE,FROZEN SPANISH MACKEREL . FROZEN INDIAN 
MACKEREL ,,FROZEN HORSE MACKEREL,FROZEN LEATHER JACKET,FROZEN CUTTLE FISH,FROZEN LIZARD FISH,FROZEN BOMBAY DUCK,FROZEN BARRACUDA,FROZEN KINGFISH WHOLE,,FROZEN EEL FISH, FROZEN TILAPIA,FROZEN YELLOW TAIL SCAD, FROZEN MAHI MAHI,FROZEN QUEEN FISH)"
5,"AMARNATH FOODS Ghanshyam Plot, ","Street No 4, 
Veraval, Gujarat",9228271570,amarnathfooddocs@gmail.com,,"GU1/ME/229/13 11/02/2013 
10/02/2025",Frozen,
6,AMBAR FROZEN FOODS OPP. NEW SHABINA ,"FOODS, 
GIDC AREA, NR. REAL FROZEN FOODS, Gujarat",2876233266,ambarfrozenfoodsdoc@gmail.com,,"GU1/ME/305/16 14/09/2016 
13/09/2025",Frozen,
7,ANMOL EXPORT ,"PLOT NO.1017 
GIDC ESTATE, 
VERAVAL GIR 
SOMNATH/362269, Gujarat",2876233501,ANMOLEXPORT16@GMAIL.COM,,"GU1/ME/307/16 28/09/2016 
27/09/2022",Frozen,
8,ASHRA INTERNATIONAL PLOT NO.1406 ,"G.I.D.C ESTATE 
VERAVAL/362269, Gujarat",9228403275,ilyaspatni@gmail.com,,"GU1/ME/321/17 04/08/2017 
03/08/2020",Dried,
9,DHARMA EXPORTS ,"Near Chamunda Ice Factory Bandar Road , Vanakbara-DIU (UT) 
/362570, Daman & Diu",9737514444,dharmaexportsdiu@gmail.com,,"GU1/ME/300/16 09/08/2016 
08/08/2022",Frozen,
10,DHARMIKA MARINE ,"EXPORTS 
NEAR F.C.I GODAWN 
IN VERAVAL PORT 
VERAVAL-362 265, Gujarat",9879714355,dharmikamarine@gmail.com,,"GU1/ME/236/13 05/08/2013 
04/08/2022",Frozen,
, ,,,,,"
",,
"
11",GAIBI EXPORTS,"JABBAR CHOWK,NEAR BAHARKOT MASJID VERAVAL GIR 
SOMNATH,GUJARAT, Gujarat",9924686577,gaibiexports@gmail.com,,GU1/ME/359/19 13/08/2019 12/08/2025,Frozen,"Frozen:Fish Aquaculture(FROZEN RIBBON FISH,FROZEN CROAKER FISH,FROZEN CUTTLE FISH WHOLE,FROZEN BABY CUTTLE FISH WHOLE,FROZEN SQUID WHOLE,FROZEN INDIAN 
MACKEREL,FROZEN HORSE MACKEREL,FROZEN SKIP JACK TUNA,FROZEN REEF CODE WHOLE,FROZEN SOLE FISH,FROZEN YELLOW FIN TUNA,FROZEN LEATHER JACKET FISH 
WHOLE,FROZEN MAHI MAHI,FROZEN SQUID WHOLE 
CLEANED,FROZEN SQUID RING AND TENTACLES,FROZEN OCTOPUS WHOLE)"
12,GLOBUS MARINE ,"EXPORTS 
YOGINI VIDHYUT NAGAR SOCIETY 
60 FEET ROAD 
/362265, Gujarat",9978881087,globusexpo@gmail.com,,"GU1/ME/315/17 21/03/2017 
20/03/2023",Frozen,
