1,ALLEGIANCE INDIA LLP ,"3-5-18, FLAT NO D201, NCC URBAN PARK SQUARE 
6TH LINE,UMAMAHESWAR COLONY, PATTABHIPURAM 
GUNTUR/522006, Andhra Pradesh",9030934449,infoaillp@gmail.com,www.allegianceindia.com,"AP2/ME/011/22 09/02/2022 
08/02/2025",Frozen,Frozen:Shrimp Aquaculture(BL HLSO VANNAEMI)
2,ALPHA MARINE LIMITED ,"D.NO.27-4-319, 
8TH CROSS ROAD, RAMJI NAGAR, NELLORE/524002, Andhra Pradesh",9966949488,qc@alphamarinelimited.com,,"AP2/ME/020/22 12/10/2022 
11/10/2025",Frozen,
3,"AMARAVATHI AQUA EXPORTS PVT LTD D.NO- 54-15-1/2D, 2ND FLOOR, SRI SURYA PREMIER -","COMPLEX, VETERINARY COLONY, 
GUNADALA, VIJAYAWADA/520008, Andhra Pradesh",8662495471,office.amaravathiaqua@gmail.com,,"AP6/ME/062/18 16/01/2018 
14/01/2024",Frozen,"Frozen:Shrimp 
Aquaculture(HLSOBLOCK,HLSOIQF,PDTOIQF,PDIQF,PDCUTDEVEINED,PDBL)"
4,AVISA FOODS PRIVATE LIMITED ,"D.NO. 5-92-43 
2ND LANE 
DEVAPURAM, GUNTUR/522006, Andhra Pradesh",9908166688,gv@avisafoods.com,,"AP2/ME/019/22 21/07/2022 
20/07/2025",Frozen,"Frozen:Shrimp Aquaculture(Block Headless shell on shrimps,Block peeled and deveined tail off shrimps (PDTL),Block Peeled and tail on shrimps(PDTO),Block Pulled vein HLSO,Block Easy peel headless shell on shrimps,Block Pulled vein peeled tail off shrimps,Block Peeled and deveined tail off skewers,Block Head on shell on shrimps,IQF Headless Shell on shrimps,IQF Peeled and deveined tail off shrimps (PDTL),IQF Peeled and tail on shrimps (PDTO),IQF Pulled vein HLSO,IQF Easy peel headless shell on shrimps,IQF pulled vein peeled tail off shrimps,IQF Peeled and deveined tail off skewers,IQF head on shell on shrimps,Semi IQF head on shell on shrimps,Peeled deveined cooked IQF shrimp,Peeled deveined tail on cooked IQF shrimps,HLSO cooked IQF shrimps,Head on shell on cooked IQF 
shrimps,Breaded and battered PDTL IQF shrimps,Breaded and battered PDTO IQF srhimps,Breaded and battered ready cook IQF shrimps,Breaded and battered ready to eat IQF shrimps)"
5,BEST FOODS ,"Door no-21-55 
Gandhi Nagar 
PAMARRU/521157, Andhra Pradesh",9848072898,bestfoods2021@gmail.com,,"AP2/ME/007/21 03/11/2021 
02/11/2024",Frozen,"Frozen:Shrimp Aquaculture(FROZEN PEELED AND DEVEINED TAIL OFF IQF,FROZEN PEELED AND DEVEINED TAIL ON IQF,FROZEN HLSO EASY PEEL VANNAMEI SHRIMPS IQF,FROZEN HLSO VANNAMEI SHRIMP IQF,FROZEN HLSO VANNAMEI SHRIMPS BLOCK)"
6,DEEPAK NEXGEN FOODS AND FEEDS PVT.,"LTD 
40-2-29, Siddhartha Apts, Siddhartha Nagar Moghalrajpuram 
Vijayawada/520010, Andhra Pradesh",8656203399,d.nexgenfood@gmail.com,www.nexgenfeeds.in,"AP6/ME/078/19 16/01/2019 
15/01/2025",Frozen,"Frozen:Shrimp Aquaculture(BL HLSO VANNAEMI,BL HOSO,BL PVPD,IQF PD TO,TOFF,IQF PUD)"
7,GAYATRI AQUA PRODUCTS PRIVATE LIMITED ,"H.NO 8,CHILLAKUR VILLAGE 
NELLORE DT 
/524412, Andhra Pradesh",9841585803,gayatri.aquaproducts@gmail.com,,"AP2/ME/009/21 31/12/2021 
30/12/2024",Frozen,"Frozen:Shrimp Wild(FROZEN HEAD LESS WHITE SHRIMPS) 
Frozen:Shrimp Aquaculture(FROZEN HEADLESS SHELL ON VANNAMEI SHRIMPS,FROZEN HEADLESS SHELL ON BLACK TIGER SHRIMPS,FROZEN HEAD ON VANNAMEI,FROZEN HEAD ON BLACK TIGER) 
Frozen:Cuttlefish(CUTTLE FISH WHOLE,CUTTLE FISH WHOLE CLEANED) Frozen:Squid(SQUID WHOLE,SQUID WHOLE CLEANED,SQUID RING,SQUID TUBE)"
8,HIGHCARE MARINE FOODS EXPORTS PRIVATE LIMITED ,"D.NO:- 28/2/1372, SRINIVASA NAGAR MYPADU ROAD, NELLORE.
/524002, Andhra Pradesh",9652272299,highcaremarinefoodsexports@gmail.com,,"TN1/ME/570/19 10/10/2019 
09/10/2022",Frozen,"Frozen:Shrimp Aquaculture(FROZEN RAW VANNAMEI PD SHRIMPS G2,RAW FROZEN HEADLESS SHELLON VANNAMEISHRIMPSBLOCKG1,FROZEN RAW HEADLESS SHELL ON VANNAMEI SHRIMPS-G1,FROZEN RAW 
VANNAMEI SHRIMP ( HEAD-LESS SHELL-ON),FROZEN RAW PD 
SHRIMPS,RAW FROZEN HEADLESS SHELLON VANNAMEI SHRIMPS 
BLOCK,RAW FROZEN HEADLESS SHELL ON VANNAMEI SHRIMPS,FROZEN RAW HEADLESS SHELL ON VANNAMEI SHRIMPS - G2,RAW FROZEN HEADLESS SHELL ON VANNAMEI SHRIMPS -G1)"
9,M/S. HONEY AQUA SEA FOODS ,"No. 2249, Chillakur Bye Pass Road, 
Gudur - 524 412 
SPSR Nellore Dist.-524412, Andhra Pradesh",9.1944E+11,honeyaquas@gmail.com,,"TN1/ME/399/15 01/04/2015 
04/09/2025",Frozen,"Frozen:Shrimp Aquaculture(FROZEN HEADLESS SHELLON VANNAMEI SHRIMPS) 
Frozen:Cuttlefish(FROZEN CUTTLEFISH WHOLE,FROZEN CULLTEFISH WHOLE CLEANED) 
Frozen:Squid(FROZEN SQUID WHOLE,FROZEN SEMI NEEDLE SQUID WHOLE) 
Frozen:Octopus(FROZEN OCTOPUS WHOLE,FROZEN OCTOPUS WHOLE CLEANED,FROZEN OCTOPUS WHOLE CLEANED IF)"
10,M/S. PRIYA AQUA FARMS ,"5-97-5, SUBEEJ HOUSE, 
6/12, BRODIPET, 
GUNTUR - 522 002., Andhra Pradesh",,,,"AP6/ME/026/15 28/04/2015 
02/09/2022",Frozen,"Frozen:Shrimp Aquaculture(IQF PD TO VANNAMEI SHRIMP,IQF PD TAIL ON VANNAMEI,IQF HL VANNAMEI SHRIMP)"
