Company Name,Address,Contact Details,Email,Website,Contact Person,Products
AARUSH OVERSEAS,"Bhikharipur, Near Carpet City, Chauri Road",":, +91-98391, 45577,, 63865, 45345, +91-,","overseasaarush@gmail.com, prabhat@aarushoverseas.in",http://www.aarushoverseas.com,Prabhat Kumar Baranwal,"Handknotted Carpets, Dhurries, Modern Creative Rugs And Floor Coverings."
ADRASH EXPORTS,Civil Lines Pakari,":, +91-9956556000,, 9415286304, +91-,","enquiry@adarshexport.com, subhash@adarshexport.com",http://www.adarshexport.com,"Anil Keshari, Subhash Chand Keshari, Sunil Keshari","Indian Hand Knotted Woollen Carpets, Indian Handwoven Viscose Carpets, Indian Handwoven Jute Carpets, Indo Nepal Carpets, Indian Hand Loom Carpets"
AGNEE INNOVATES PRIVATE LIMITED,Kushiyara Gyanpur Road,":, +91-9990910201,, 9999221252, +91-,","deepak.sharma@agniexports.com, lalit.baliyan@agniexports.com",http://www.agniexports.com,"Lalit Baliyan, Deepak Sharma","Pillows , Stools , Benches , Rugs , Dhurries, Furniture"
AGRA ORIENTAL RUGS,"363, Khasra No. 20, Budera Mod,",":, +91-9837084599,, +91-,",info.agra@kanuexports.com,Contact Person,Ajay Mahajan,Handknotted Woollen Carpets
AGRA RUGS WEAVERS,"Laxmi Commercial Complex, Bansal Nagar,",":, +91-9927844244,, +91-562-2330401,, 562-2330403","bandejjia@gmail.com, info@agrarugsweavers.com",Contact Person,Mukul Gupta,"Cotton Handloom Durries, Chindi Durries, Jute Durries, Leather Durries And Other Floor Coverings."
ALI TEPPICH PVT LTD,"Behind Sara Galeria, Near Carpet City, Bhadohi-",":, +91-9839063774,, 6307130137, +91-,",ali_teppich@yahoo.in,Contact Person,Naeem Ahmad,"Indoor And Out Door Kilims, Gabbeh Carpet In Hand Loom And Hand Knotted, Jute Braided And Jute Hand Woven Carpet. Hand Loom With Multiple Yarn,"
AMAAN RUGS,Noorkhanpur,":, +91-9389702212,, 9335762733, +91-8090729336,","amaanrugs@gmail.com, aquib.ansari05@gmail.com",http://www.amaanrugs.com,"Aquib Muzammil, Ahsan Kamal Ansari","Hand Knotted Carpets, Hand Woven Carpets, Hand Made Dhurries. Hand Tufted Carpets"
ANSARI RUG BAZAR,Quazipur,":, +91-9415204578,, 9838203540, +91-5414-224986,",info@ansarirugbazar.net,http://www.ansarirugbazar.com,"Abdul Kalam, A. Quavi Ansari","Handmade Jute And Wool Rugs, Outdoor Rugs"
ANTIQUE ART EXPORTS PVT. LTD.,"78 Km Stone, Karhans Village. Gt Road, Tehsil",":, +91-9891110022,, 9999997754, +91-,","info@antiqueartexports.com, 1990aae@gmail.com",http://www.antiqueartexports.com,"Mohit Jain, Vipul Jain",All Kind Of Handmade Carpets & Floor Coverings
ANTIQUE RUGS INDIA,Quazipur Bhadohi,":, +91-9956046044,, 8090129802, +91-,",antiquerugsindia@gmail.com,http://www.antiquerugsindia.com,"Mohd. Arif, Faizul Islam","1:- Handwoven Woolen Carpet And Rugs , 2:-Loom Knotted Woolen / Viscose Carpet And Rugs 3:- Hand Knotted Woolen Carpets .. Etc..."
ARB INTERNATIONAL,"Byepass Road, Mahboobpur, Jamunipur,",":, +91-9838501646,, 9984977770, +91-,","rahman@maboodinternational.in, info@arbinternational.in",http://www.arbinternational.in,"Abdul Rahman, Atif Ahsan","Woollen Dhurry , Cotton Dhurry , Jute Dhurry , Handloom Carpet & Dhurry, Recycle Carpet & Dhurry, Handknotted & Tabletuff Item."
ARTEX,Near Mother Haleema Public School,":, +91-9935147804,, +91-9935147804,",aartex1@gmail.com,Contact Person,Ahsanul Islam Ansari,Indian Hand Made Carpet And Hand Woven Carpet
ARTLINE CREATION,"Natwa, Jangi Road",":, +91-9415232525,, 9415206546, +91-5442-220881,, 5442-356589","vikramcarpetsmzp@gmail.com, vikramrkj@gmail.com",http://www.artlinecreation.co.in,"Vikram Jain, Vikas Jain","Hand Woven Woolen Kilim, Woolen Soumak, Hand Knotted Carpet, Hand Tufted Carpets, Hand Hooked Carpet, Indoor Outdoor Pet Rugs, Pp Rugs, Jute Rugs, Hemp Rugs, Polyester Rug, Cotton Rugs"
ARVIND EXPORTS,"108 Civil Lines, Pakari,",":, +91-9628047000,, 9838487146, +91-,",arvind@arvindcarpets.com,http://www.arvindcarpets.com,"Arvind Gupta, Abhishek Gupta","Hand Knotted And Hand Woven Woollen Viscose Carpets, Printed Rugs"
ASIAN RUG MART,Alampur,":, +91-9838825152,, +91-,",asianrugmart@yahoo.in,Contact Person,Ahsan Ansari,Hamd Made Rugs
AVA INTERNATIONAL,47 Hari Om Nagar Marris Road,":, +91-9557188400,, +91-,",info@homedekors.com,Contact Person,"Mayank Goyal, Mayank Goyal","Jute Rugs, Outdoor Rugs, Pet Rugs, Polypropylene Mats, Area Rugs, Hand Tufted Carpets, Handknotted Carpets"
AYUB RUGS,"Qazipur, Bhadohi - 221401, U.P.",":, +91-8375019343,, 9839062661, +91-,, 8800175165","ayubrugs@gmail.com, info@ayubrugs.com",http://www.ayubrugs.com,"Ubaidur Rahman, Mohd Ammar","Hand Knotted, Hand Tufted, Handloom, Handwoven Carpets And Durries"
BANDEJJIA & BROTHERS,"Laxmi Commercial Complex, Bansal Nagar, Opp.",":, +91-9927844244,, 9837098550, +91-562-2330401,, 562-2330402","bandejjia@gmail.com, mukulgupta.bandejjia@gmail.com",http://www.bandejjiarugs.com,"Mukul Gupta, Anoop Gupta","Cotton Handloom Durries,Woollen Durries, Jute Durries, Chindi Durries And Other Floor Coverings"
BANSAL CARPETS,Pragati  5  Daya Nagar Shaheed Nagar Crossing,":, +91-9837021985,, 9927050688, +91-562-4007919,, 562-4302266","bansalcarpets@gmail.com, bansalrugs@gmail.com",http://www.bansalcarpets.com,"Praveen  Bansal, Sparsh  Bansal",Indian Handknotted Wollen & Bamboo Silk Carpets
BHADOHI COTTON COMPANY,"Mondh Road, Near Ayodhyapuri Primary School",":, +91-919935042782,, 919935162775, +91-,",shyambcc@gmail.com,Contact Person,Shyam Narain Yadav,Hand Knotted Woollen Carpets Hand Woven Woollen And Viscose Carpets
BHADOHI RUGS,Quazipur,":, +91-9889662383,, 7800200635, +91-5414-224986,","bhadohi@bhadohirugs.com, info@ansarirugbazar.net",http://www.bhadohirugs.com,"Rashid Kalam, A. Basit Ansari","Handknotted Rugs, Handloom Rugs,"
BIKANER CARPETS,"Plot No 6-J C-2,Malviya Nagar Industrial Area,",":, +91-9460269760,, 9460269760, +91-,",bikanercarpets@gmail.com,http://www.bikanercarpets.com,"Vipul Bansal, Sambhav Kumar",Premium Handwoven Rugs
C.L.RUG INDUSTRIES,Bangalipur - Rajatalab,":, +91-7523888734,, 8840378249, +91-,",c.l.rugs@gmail.com,http://www.clrugs.in,"Yogesh Kumar Maurya, Sushil Maurya","Hand Made Wool & Silk Carpets, Dhurries, Tufted Carpets,"
CARPETS BEAUTY,"Chandradeepa, Jangiroad,",":, +91-9891400655,, +91-,","carpetsbeauty@gmail.com, ajay.shukla8@gmail.com",http://www.carpetsbeauty.com,"Ajay Kumar Shukla, Mithlesh Pandey","Rugs, Carpets, Hand Weaven Carpets (Dhuries), Shaggy"
CEEJAY INTERNATIONAL,4/75 A Viharika,":, +91-94122, 60419,, 94121, 63246, +91-,","info@ceejayinternational.com, mittalcj@hotmail.com",http://www.ceejayinternational.com,"Saurabh Mittal, Gaurav Mittal",Handloom & Handmade Durries / Carpets / Runners / Placemats
