S.No.,Exporter Name,Address,StateName,Phone,Mobile,Email
1,"M/s Pure DIets India Ltd., Unit : Plot No. 143,
Kumareshwer Nagar, Belgaum Road, District
Dharwad, Karnataka","Head Office: Plot No. 94, Ramjilal Market,
Opp Pocket L, Sarita Vihar",New Delhi,41044344,,kishan@purelife.in
2,Chamong Tee Exports Pvt Ltd,"2NC, Dutta Sarani, Sagar Estate,5th
Floor,Unit No.1,Kolkata",West Bengal,,,imoind@vsnl.com
3,Indian Sugar EXIM Corporation Limited,"Block-C, 2nd Floor, Ansal Plaza, August Kranti
Marg, New Delhi",New Delhi,,9910084932,isec@airtelmail.in
4,M/s. Bergwerff Organic India Pvt. Ltd.,"Plot No. C-36-38, Phase-I, Special Economic
Zone, Sector-3, Pithampur, Dist. Dhar (M.P),
India.",Madhya Pradesh,308555,9669040100,dineshpgdoan@yahoo.co.in
5,Sunstar Overseas Limited,"40 KM Stone, G.T Karnal Road, Bahalgarh,
Sonepat,Haryana",Haryana,2381925,9358181207,mukeshsharma@sunstarmail.com
6,Raj Foods International,"1ST FLOOR, SRI SACCHIDANAND
COMPLEX,VISNAGAR ROAD, UNJHA",Gujarat,27499613,,info@rajfoods.co.in
7,Geo-Fresh Organic,"Gulab Park, S. T. Road, Sidhpur",Gujarat,220863,9978920260,dapatel@geo-fresh.com
8,Vantage Organic Foods Pvt Ltd,"13/12-A, Malaviya Nagar, Jaipur.",Rajasthan,2550121,,vipul@vantagetradeservices.com
9,"JAY SHREE TEA & INDUSTRIES LTD.,","Industry House, 15th Floor, 10, Camac
Street, Kolkata",West Bengal,22827531,,pka@jayshreetea.com
10,Geofresh Organic,Gulab Park S.T.Road Sidhpur-,Gujarat,220863,9825290260,dapatel@geo-fresh.com
11,"Ambootia Tea Exports, Unit -Tea Group
Exports","20, Coal Berth, Hoboken Road, Kolkata, India",West Bengal,24391966,,ambootia@vsnl.com
12,Khyati Foods Private Limited,"E-1/50, Arera Colony, Bhopal Madhya
Pradesh- 462016",Madhya Pradesh,2422866,"94,25,01,62,02,09,42,50,00,000",salil1978@rediffmail.com
13,Phalada Agro Research Foundation Pvt Ltd.,"1st Floor 92/5, Kannalli Village, Segehalli
Cross, Magadi Main Road Yashwanthpur
Hobli. Bangalore North.",Karnataka,28536762,,info@phaladaagro.com
14,Suminter India Organics Pvt. Ltd.,"Indiana House, Makwana road, off MV road,
Marol, Andheri (East), Mumbai.",Maharashtra,2242029000,,dinesh@suminter.com
15,Radiance Overseas,"46, Chanakyapuri Annapura road, Indore",Madhya Pradesh,,9406800327,radiance.overseas@gmail.com
16,Amar Singh and Sons,"51- Industrial Estate, Phase 1, Gangayal,
Jammu Tawi -180 010",Jammu & Kashmir,2480606,9796219614,kbamar@usa.net
17,Agrawal Overseas,"334/2/4, Agrawal Udhyog Nagar, Palada,
Nemawar Road, Indore",Madhya Pradesh,2400027,9425062600,parasexports23@gmail.com
18,Aryan International,"F-58, Radhey Mohan Drive, Jonapur village,
New Delhi-110047, India",New Delhi,26659021,9811300884,info@aryanint.com
19,Plantrich Agri Tech Pvt.Ltd.,"CSI Commercial Centre, Baker Jn., Kottayam,
Kerala, India",Kerala,2303277,,plantrich@plantrich.com
20,Accura Organic Foods,"402, Shilp Square B, Opposite Himalaya
Mega Mall, Drive In Road, Ahmedabad",Gujarat,22800666,9825303366,infor@accuragroup.in
21,"THE BOMBAY BURMAH TRADING
CORPORATION LTD","Post box No.573 , Subramaniam Road ,
Willingdon Island , Cochin",Kerala,667539,,bbtc@vsnl.com
22,KORAKUNDAH ESTATE,"THE UNITED NILIGIRI TEA ESTATES
CO.LIMITED., Chamraj Estate & P.O Niligiris -
643204, Tamilnadu, india",Tamil Nadu,2258737,,chamraj@vsnl.com
23,Kashmir Walnut Overseas Pvt Ltd,"Plot No-02, Zone D, EPIP Park, Kartholi, Bari
Barhmama, Jammu- 181133, India",Jammu & Kashmir,2505735,,kashmirwalnut@vsnl.com
24,PDS Organic Spices,"XV/159, Kuttikkanam P.O, Valanjanganam,
Peermade, Idukki.",Kerala,233988,9930686713,pdsorganicspices@gmail.com
25,Paras Udhyog,"23/2, Sajan Nagar, Main Road, Indore",Madhya Pradesh,9425062600,9.19E+11,parasexports@23gmail.com
26,M/s. Elements Homestead Products Pvt. Ltd,"4/1418 B, Customs Road, Kozhikode, Kerala.",Kerala,2765783,,lijin@elementsindia.net
27,Radiance Overseas,"46,Chankyapuri ,Annapuram Road,Indore",Madhya Pradesh,,9406800327,radiance.overseas@gmail.com
