Company,Contact Address,Specialization,Unnamed: 3,Website,Email
"Dogma Soft Public Limited
jaipur","Website: www. dogmaindia.com
Email: info@dogmaindia.com","Official Website, Software Development, Website
Design and Development, Toll Free Number, PC SPY
Software, Bulk SMS, ISO Certification, Trade Mark",,www. dogmaindia.com,info@dogmaindia.com
"A G Technologies Pvt Ltd,
Mumbai","Website: www.ag-technologies.com,
Email: agtechnologies@bol.net.in","ERP, IT enabled services, web enablement,
application development",,www.ag-technologies.com,agtechnologies@bol.net.in
"A P Technosis Ltd, Noida","Website: www.aptechnosis.com Email:
aptechltd@vsnl.net","Software development (Java, VB, ASP), Offshore
services, Consultancy",,www.aptechnosis.com,aptechltd@vsnl.net
"Aalayance Ecom Services Pvt
Ltd, Bangalore","Website: www.aalayance.com
Email: nkavitha@aalayance.com","Enterprise Application Integration, Object
Technologies, Public Key Infrastructure, Software
development and testing",,www.aalayance.com,nkavitha@aalayance.com
"ABO Software Private Limited,
New Delhi","Website: www.abosoftware.com Email:
ajay@abosoftware.com","Electronic Commerce, Electronic Data Interchange,
Telecomm-unication - X.25, Frame Relay, Object
Oriented Programming",,www.abosoftware.com,ajay@abosoftware.com
"Accel Software Solutions
Limited, Chennai","Website: www.accelssl.com Email:
nrpanickam@accel-india.com","Software Development, IT Training, IT Enabled
Services, E-Biz Solutions",,www.accelssl.com,nrpanickam@accel-india.com
"Accenture Services Pvt. Ltd.,
Mumbai","Website: www.accenture.com Email:
chet.kamat@accenture.com","Project deliver, Custom application development,
Application management & conversion, Creation of
client-specific facilities",,www.accenture.com,chet.kamat@accenture.com
"Access Networks India Pvt Ltd,
Trichy","Website: www.anwsi.com,
Email: venkateswaran@anwsi.com","Protocol development, CTI development, CRM
systems, operational support systems for telecom
service providers",,www.anwsi.com,venkateswaran@anwsi.com
"Ace Software Exports Ltd,
Rajkot","Website: www.acesoftex.com Email:
vikram@acesoftex.com","Database Creation, Software Development, CAD -
AM/FM Services, E-Commerce Solutions",,www.acesoftex.com,vikram@acesoftex.com
"Aces Global Systems Pvt. Ltd,
Mumbai","Website: www.acesintl.com Email:
salil@acesintl.com","Offshore development, Staff Augumentation, Project
Consulting, Systems Integration",,www.acesintl.com,salil@acesintl.com
"ACES Infotech Pvt Limited,
Calcutta","Website: www.acesinfotech.com Email:
aces@cal.vsnl.net.in","School computer training, Hardware maintenance,
Hardware selling (An Authorised Dealer / Distributor /
Reseller of HCL, Vintron, Seagate, TVSE, Microtek)",,www.acesinfotech.com,aces@cal.vsnl.net.in
"Acsys Software (India) Pvt Ltd,
Chennai","Website: www.acsysindia.com Email:
rvetrivel@acsysindia.com","Mutual funds, pension funds, insurance, portfolio
management",,www.acsysindia.com,rvetrivel@acsysindia.com
"Acumen Software
Technologies Ltnd, Hyderabad","Website: www.acumensoftware.net
Email: acumensoftware@rediffmail.com","Internet desktop Business solutions for manufacturing
sectors, Business Intelligence solutions",,www.acumensoftware.net,acumensoftware@rediffmail.com
"Adam Comsof Ltd, Mumbai","Website: www.adamcomsof.com Email:
aloke@adamcomsof.com","Product Development (WAP), E-Commerce Projects,
Onsite / Offshore Projects, Consultancy",,www.adamcomsof.com,aloke@adamcomsof.com
"ADCC Research &
Computing Centre Ltd,
Nagpur","Website: www.adccindia.com Email:
arun@adccindia.com","E-commmerce & web technologies, banking,
GIS/GPS - Fleet Management, UtilityManagement,
CTI - Telebanking, Wireless(SMS) Banking,
Mortgage, Finance in client server and web based
environment",,www.adccindia.com,arun@adccindia.com
"Aditi Technologies Pvt Ltd,
Bangalore","Website: www.aditi.com Email:
webmaster@aditi.com","E-service product- Talisma for handling customer e-
mail in a team environment, E-commerce consultancy
and development, Outsourced support services",,www.aditi.com,webmaster@aditi.com
"Adobe Systems India Pvt
Ltd, Noida","Website: www.adobeindia.com Email:
ngupta@adobe.com",Specialisation: Web and Desktop Publishing Software,,www.adobeindia.com,ngupta@adobe.com
"Adroit Computer Technique
Pvt Ltd, New Delhi","Website: www.adroitindia.com Email:
sandeept@adroitindia.com","Application Software Development and Turnkey
Consultancy, Transaction Oriented Web-Based
Solutions, ERP solution for SME - Manufacturing and
Non-manufacturing Organisations, Business Process
RE -Engineering and Feasibility Studies",,www.adroitindia.com,sandeept@adroitindia.com
"Advanced Micronic Devices Ltd, Bangalore",Website: www.amdlcorp.com Email:,"Building Automation, Control systems, Embedded Software, E-commerce",,www.amdlcorp.com,vijayar@amdlcorp.com
,vijayar@amdlcorp.com,,,,
"Advent Software Limited,
Pune","Website: www.adventsoftware.net Email:
sanjeev@adventsoftware.net","Distributed Computing Environment, Embedded
Software, Internet Enabled Services",,www.adventsoftware.net,sanjeev@adventsoftware.net
AdventNet Development,Website: www.adventnet.com Email:,"Network Management, Internet Management",,www.adventnet.com,
Company,Contact Address,Specialization,,,
"Centre (India ) Pvt Ltd,
Chennai",kumar@adventnet.com,Infrastructure,,,
"Affinity Software, Bangalore","Website: www.affinity-soft.com Email:
affinity-soft@affinity-soft.com","Internet agents, Client -server, web-bsed application,
health insurance claims",,www.affinity-soft.com,affinity-soft@affinity-soft.com
"Aftek Infosys Ltd, Mumbai","Website: www.aftek.com Email:
ranjitd@aftek.com","Embedded systems (internal and applications),
System Software (internal and applications) , Web
programming, Software product and packages",,www.aftek.com,ranjitd@aftek.com
"Agarwal Management
Consultants Pvt. Ltd.,
Ahmedabad","Website: www.agarwalmanagement.com
Email: govind@ad1.vsnl.net.in",On-site services,,www.agarwalmanagement.com,govind@ad1.vsnl.net.in
"Agere Systems India Pvt Ltd,
Bangalore","Website: www.agere.com Email:
mvatre@agere.com","Telecom Semiconductors, Opto electronics, Wireless
communication& Networking Systems",,www.agere.com,mvatre@agere.com
"Aithent Technologies Pvt
Ltd., Gurgaon","Website: www.aithent.com Email:
svadhera@ggn.aithent.com","Packaged Software, Turnkey Projects, Healthcare
Industry, Finance sector",,www.aithent.com,svadhera@ggn.aithent.com
