1,AGMA TRADING HOUSE ,Ph: 9884200201 ,TN1/ME/603/21 28/06/2021 ,Live other than ornamental fish,
,"OLD NO16, NEW NO 33, ",email: AGMATRADINGHOUSE@GMAIL.COM,27-06-2024,,
,ESI HOSPITAL ,,,,
,"ROAD,PERAVALLUR,AGARAM, PERAMBUR/600011, Tamil Nadu",,,,
2,AQGROMALIN FARMTECH SERVICES PVT LTD ,Ph: 9150095418 ,TN1/ME/620/22 23/03/2022 ,Live other than ornamental fish,Live other than ornamental fish:Crab(mudcrab)
,"3rd Floor, Tower C, Rattha Tek Meadows Road ",email: urvashi.sundarraju@aqgromalin.,22-03-2025,,
,"Elcot Sez, Sholinganallur ",Web: www.aqaicrabs.com,,,
,"/600097, Tamil Nadu",,,,
3,"ARHAAN TRADING COMPANY NEW NO. 133, OLD NO. 65, ",Ph: 04448645151 ,TN1/ME/605/21 03/09/2021 ,Dried,
,LINGHI CHETTY STREET ,email: arhaanmaws@gmail.com,02-09-2024,,
,"CHENNAI-600001/600001, Tamil Nadu",,,,
4,BSF EXPORTS ,Ph: 7200200035 ,TN1/ME/623/22 18/04/2022 ,Live other than ornamental fish,Live other than ornamental fish:Crab(Crab(Mud Crab))
,"12/2, 13/2 REX STREET ",email: bsfexports1961@gmail.com,17-04-2025,,
,"WEST COOVAM RIVER ROAD CHINTADRIPET,/600002, Tamil Nadu",,,,
5,"CHENNAI MARINE EXPORTS, No.43,Old No.21, Kalavai Chetty street ",Ph: 9884916999 ,TN1/ME/518/18 15/01/2018 ,Live other than ornamental fish,Live other than ornamental fish:Crab(Crab(Mud Crab))
,"Chindatripet, ",email: chennaimarineexport@gmail.com,14-01-2024,,
,"Chennai/600002, Tamil Nadu",,,,
6,CHITANG BEIKE IMPEX PRIVATE LIMITED ,Ph: 9962247316 ,TN1/ME/564/19 02/08/2019 ,Live other than ornamental fish,Live other than ornamental fish:Crab(Crab(Mud Crab))
,No 147/54 Ground Floor ,email: chitangbeike@gmail.com,01-08-2025,,
,"Swami Naicken Street Chintadripet Chennai 600002, Tamil Nadu",,,,
7,COASTAL AQUACULTURE ,Ph: 7299910993 ,TN1/ME/621/22 05/04/2022 ,Frozen,
,RESEARCH INSTITUTE PRIVATE LIMITED ,email: abhishek@aquaconnect.blue Web: https://aquaconnect.blue/,04-04-2025,,
,"Type II/17, Dr V S I Estate ",,,,
,"Rajiv Gandhi Salai, Thiruvanmiyur, /600041, Tamil Nadu",,,,
8,COASTLINE FISHERIES ,email: brittoseafoodexports@gmail.com,TN1/ME/370/14 14/07/2014 ,Chilled,"Chilled:Fish Wild(chilled : grouper , tomato grouper,,chilled prawn, coral trout fish, "
,"4/1, BALAKRISHNAN STREET, TONDIARPET, ",,13-07-2023,,baigai)
,"CHENNAI-600 081., Tamil Nadu",,,,
9,DECO DE TREND ,Ph: 04467142222 ,TN1/ME/552/19 15/02/2019 ,Others-Non Edible,Others-Non Edible:Sea Shells(SEA SHELLS)
,"4/371, DAVID NAGAR ",email: ACCOUNTS@DECODETREND.COM,14-02-2025,,
,VANDALLUR - WALAJABAD ,,,,
,ROAD ,,,,
